,report,institute,category
9,"Laporhendi perum plamongan hijau kota semarang, sabtu  malam 07/11/20 banjir parah tinggi. pompa polder tidak sebanding dgn debit air hujan. tolong dibantu dgn alternatif yg lain. mkasih",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
0,"Tgl 1 november 2020 terjadi banjir di komplek vila norin rt01/04 ciganjur, cipedak , jagakarsa, jakarta selatan. sudah beberapa kali dilaporkan dan dilakukan survey namun belum ada hasil yang signifikan. mohon untuk realisasi perbaikan drainase di lingkungan kami supaya tidak terjadi banjir. dari tahun 2012 kami tinggal sampai dengan 2018, banjir hanya di depan rumah, namun setelah ada peninggian tanggul sungai, banjirnya malah sampai masuk kedalam rumah kurang lebih 30 cm. terimakasih.",Pemprov DKI 2,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
1,Dampak jalan di jalan raden patah  yang di aspal kembali menjadi banjir di depan ruko saya. Tolong tanggung jawab nya agar tidak merugikan warga sekitar akibat peningian jalan dengan aspal. Lokasi saya di jln raden patah no. 116 parung serab ciledug.,LAKSA Kota Tangerang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
2,"Selamat pagi pak/bu, saya sheryl tinggal di jakarta barat, saya ingin mendapatkan informasi dokumen apa yang diperlukan untuk pengurusan sertifikat rumah yang hilang karena banjir? data yang di tangan hanya akta jual beli, tidak ada fc sertifikatnya. rumah atas nama sendiri.",Pemprov DKI 2,  Sertifikat Tanah
3,"Permohonan pembuatan tanggul,pasca banjir garut selatan minggu lalu,ponpes kami terancam tergerus sungai,d karenakan abrasi tanah pinggir sungai,jarak pemukiman ponpes ke pinggir sungai hanya sekitar 1,5 meter lagi,mohon untuk jadi perhatian untuk pemprop jabar q.c jabar quick respons,terimakasih.",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Garut,  Infrastruktur Pendukung
4,"Bapak & ibu kami mohon sekali bantuannya utk pembersihan kali (sungai) di perumahan kami yang penuh dengan sampah.. untuk menghindari terjadinya banjir seperti awal tahun 2020 ini.. mohon sekali bantuannya.. karena sampahnya sudah menutupi gorong2 jembatan, sehingga air sungai tidak mengalir dengan lancar.. sebelumnya kami ucapkan terima kasih atas perhatian bapak & ibu",Dinas Lingkungan Hidup Kabupaten Bekasi,  Pencemaran Lingkungan
5,Mohon bantuan pada dinas terkait untuk menangani banjir/air tergenang di depan dinas ppkb kota mataram di jl. lingkar selatan.. terima kasih..,Dinas Pekerjaan Umum dan Penataan Ruang Kota Mataram,  Infrastruktur Jalan
6,"Saya mohon percepatan pembangunan tpt dan das sungai cilaut eureun pamalayan cikelet garut, karena jarak tebing sungai ke bangunan 2 lantai  sekolah sma maarif nurulhidayah tinggal 2m lagi akibat tergerus banjir bandang tgl 12 oktober yg menimpa desa pamalayan kec.cikelet kab.garut jawa barat.",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Garut,  Infrastruktur Pendukung
7,"Maaf pak/ibu jika saya menganggu waktunya
Saya ingin menyampaikan pesan saya kepada bapak/ibu bahwa bisakah saya mendapatkan sedikit bantuan dari pemerintah untuk memperbaiki rumah saya
Karna rumah saya datarannya rendah di banding jalan aspalnya lebih tinggi.jadi setiap hujan pasti kebanjiran

Mohon bapak/ibu baca keluhan saya sebagai warga sumatera selatan(palembang)",Dinas PUPR Kota Palembang,  Lainnya terkait Infrastruktur Jalan
8,"Komplek masnaga bintara jaya yang berlokasi di jalan bintara raya saat ini sering mengalami banjir, warga sudah berupaya melakukan pembersihan dan pengurukan kali yang ada guna mencegah banjir namun timbul solusi baru yang mungkin bisa lebih cepat yaitu pengadaan pompa penyedot air dengan kapasitas diatas 2500 liter permenit. sehubungan dana yang dibutuhkan cukup besar kami memohon kepada pemda kota bekasi untuk dapat melakukan pengadaan barang tersebut agar meminimalisir kemungkinan bencana banjir berulang.",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Penanggulangan Bencana
9,"Melaporkan tahap ke 2 kepada pemerintah kabupaten jember. bahwasanya pada saat musim hujan di tahun 2020 saluran air (selokan) yang dialami warga di jln. 
mh. thamrin gg. kepodang lingkungan gumuk bago kelurahan tegal besar kecamatan kaliwates kabupaten jember tambah parah dari taun sebelumnya di tahun 2019 sehingga menyebabkan banjir dan jalan aspal menjadi rusak. oleh karenanya kami selaku komunitas pemuda peduli lingkungan (kppl) di rw 019 dan rw 020 lingkungan gumuk bago melaporkan dan mengadukan kembali untuk ke 2 kalinya kepada pemerintah jember. kami mohon dengan sangat pada pemerinta jember untuk lebih mempedulikan permasalahan yang serius ini.
hasil dari laporan kami kppl kepada pihak rw 019 dan rw 020 jika rt/rw mengambil kebijakan secara sepihak maka dapat menyebabkan permasalah baru dikarenakan ada beberapa warga yang tidak menyepakati untuk memperbaiki kenyamanan saluran air tersebut.

adapun pengaduan dan permasalahan kendala yang akan timbul bila kebijakan sepihak:
(1) terdapat pondasi permanen tepat diatas saluran air. (fakta dan dokumentasinya siap dilampirkan) 
(2) meminta ganti rugi karena sifatnya merusak pondasi selokan yang jelas-jelas saluran air dedepan rumahnya tersumbat. (fakta dan dokumentasinya siap dilampirkan) 
(3) kurang pengertian dan perhatian terhadap kebijakan yang diputuskan rt/rw setempat. (sudah terjadi)
(4) warga acuh tak acuh dan ricuh. (sudah terjadi) 
(5) kurangnya anggaran tambahan. 

adapun yang dibutuhkan warga kepada pemerintah:
(1) kepedulian dan kebijakan langsung dari pemerintah secara tegas dan real/faktual, bukan mengandung opini saja. 
(2) membutuhkan bantuan dari pihak marinir/tentara, kamtibmas/babinsa untuk turun dan survei lokasi untuk gretakan secara tegas kepada warga yang tidak menyepakati kenyamanan saluran air untuk di perbaiki. 
(3) dana tambahan yang faktual dari pemerintah bukan fiksi belaka. 

adapun kelemahan kami:
(1) selaku rt/rw kurang tegas dalam mengambil keputusan dan mental bila disosialisasikan kepada masyarakat. 
(2) dari pihak kelurahan dan kecamatan sudah kewalahan karena berkali-kali turun dan survei hasilnya tetap dan sama saja. 
(3) tidak memiliki jaringan kuat untuk mengatasi permasalahan yang berlarut larut seperti ini. selain hanya kepada rt/rw, kelurahan dan kecamatan. 

sekali lagi, kami selaku aliansi warga gumuk bago tegal besar kaliwates jember hanya dapat menyampaikan aspirasi untuk kenyamanan warga. 
dan kami benar-benar mohon bantuannya baik menteri, pikiran solusi transformatif dan tenaga.",DINAS PU BINA MARGA & SUMBER DAYA AIR KABUPATEN JEMBER,  Badan Usaha Milik Desa
0,"Ini merupakan pengaduan saya yang ke dua kalinya melalui aplikasi ini. Saya tidak akan bercerita panjang lebar terkait banjir yg sudah setiap tahun kami 'nikmati', karena banjir di Dusun Sedengan Desa Arjosari Kecamata Rejoso Kabupaten Pasuruan dari tahun ke tahun tidak pernah terselesaikan. Saya hanya bisa berharap bapak2 admin yang cakep2 untuk dapat meneruskan pengaduan ini kepada pihak terkait. Mohon ditinjau desa kami, terkait pembuangan air, dikarenakan pembangunan yang tdk sesuai menurut saya, sehingga menutup jalur pembuangan air di desa kami. Atau ada tindakan revitalisasi sungai Rejoso. Terimakasih.",Badan Penanggulangan Bencana Daerah Kab. Pasuruan,  Penanggulangan Bencana
1,"Tolong got sepanjang daerah ngablak dan muktiharjo lor, arah kaligawe, semarang di keruk dengan alat berat supaya lancar. karena mengakibatkan banjir disepanjang jalan tersebut ketika musim hujan, padahal itu jalan fital.
got itu menjadi tidak lancar karena dulu diuruk untuk dudukan alat berat untuk proyek penanaman pipa gas, namun setelah proyeknya selesai got tersebut tidak dikembalikan kekondisi semula. sudah 3 tahun lebih pihak kelurahan setempat tidak ada tindakan sama sekali.
terimakasih pak hendi, tolong segera ditindak lanjuti karena ini sudah mendekati musim hujan.",Dinas Pekerjaan Umum Kota Semarang,  Topik Lainnya
2,"Laporhendi tlogosari banjir, bisakah ada tindak lanjut untuk pemompaan atau bagaimana agatlr tidak semakin naik?",Dinas Pekerjaan Umum Kota Semarang,  Indikasi Geografis
3,"Halo, selamat siang.
saya safira,
sebelumnya terimakasih atas dibuatnya situs ini.
saya ingin memberikan laporan mengenai limbah sampah di pasar sidomulyo bagian bawah di dekat kantor pasar,
kaitan nya dengan sampah organik dan non-ogarnik milik pedagang dan sekitaran, yang menggangu kenyamanan dan menyumbat saluran perairan, sehingga warga sekitar yang memiliki rumah di dekat daerah tersebut kerap kali mengalami penyumbatan dan peluapan saluran air, dan kondisi akan lebih parah saat musim hujan, sampah yang yang berada di dalam saluran air akan meluap sampai jalan raya, saya sendiri kerap kali memergoki pedagang yang melempar sayuran busuk dan plastik kedalam selokan dalam jumlah yang cukup banyak, saat saya melarang nya jawaban mereka adalah bahwa tidak ada tempat sampah yang disediakan di dekat mereka, alih-alih membeli kotak sampah sendiri mereka lebih memilih membuangnya ke saluran air, sebenarnya sampah adalah tanggung jawab perorangan. namun, apabila kesadaran rakyat kurang, maka ini akan menjadi tanggung jawab bersama. hal yang perlu dipertimbangkan akan masalah ini 

1.sampah yang menumpuk akan meimbulkan wabah penyakit-wabah penyakit akan mudah menjangkit anakanak-kemudian anakanak yang terjangkit imun nya akan melemah-imun yang melemah mempngaruhi perkembangan otak-sehingga anakanak akan sulit dalam hal belajar,
alasan mengapa anak-anak di jepang memiliki daya berpikir yang bagus karena mereka hidup di lingkungan yang bersih dan pemerintahan yang tegas dalam hal sampah disertai masyarakat dengan kesadaran yang tinggi akan pentingnya membuang sampah dan mengelola sampah pada tempatnya.

2. sampah adalah salah satu faktor terjadi nya bencana banjir 

3.sampah plastik adalah salah satu masalah penyebab kepunahan hewan di sungai dan lautan 

4.apabila mikroplastik yang dihasilakn sampah tertelan makhluk hidup sepertik ikan, mereka akan mengidap kanker, dan apabila ikan yang mengidap kanker dimakan oleh manusia mereka akan mudah terjangkit penyakit

mengingat bahwa indonesia berada di urutan ke-2 sampah plastik terbanyak di dunia,
sudah seharusnya masalah ""membuang sampah sembarangan"" adalah topik dan permasalahan yang ""sangat penting"" 

terimakasih atas kesediaan membaca dan mempertimbangkan laporan milik saya, semoga solusi yang tepat akan hadir, agar lampung menjadi daerah yang lebih baik.",Dinas Perumahan dan Permukiman Kab. Lampung Selatan,  Topik Lainnya
4,Laporhendi jam 00.45 wib minggu dini hari 01/11/20 banjir di perum plamongan hijau kota semarang belum surut2. masih banjir parah tinggi selutut orang dewasa. pompa polder daya sedotnya kecil,Dinas Pekerjaan Umum Kota Semarang,  Topik Lainnya
5,"Laporhendi perum plamongan hijau kota semarang, sabtu  malam 31/10/20 banjir parah tinggi. pompa polder tidak sebanding dgn debit air hujan. tolong dibantu dgn alternatif yg lain. mkasih",Dinas Pekerjaan Umum Kota Semarang,  Topik Lainnya
6,"Tolong di tindak lanjutin kelurahan bakalan bagun got / parit tinggian gotnya dri jalan di gang...
  dusun babatan gang selatan masijid nurul huda...","Dinas Lingkungan Hidup, Kebersihan dan Pertamanan Kota Pasuruan","  Lainnya terkait Pembangunan Desa, Daerah Tertinggal, dan Transmigrasi"
7,Mohon pemkot bisa memfasilitasi normalisasi kali diperumahan kami yg sudah diserahkan k pemkot. Kali ini meluap setiap musim hujan karena semua buangan air hujan perumahan cipondoh masuk k kali ini menyebabkan meluap dan banjir dirumah warga.,LAKSA Kota Tangerang,  Permukiman
8,"Selamat siang.
saya ingin laporkan untuk pertigaan jl diklat pemda dengan legok karawaci, jalanan nya sangat rusak, bahkan tergenang banjir walaupun hujan singkat. tidak ada saluran pembuangan air, serta lampu penerangan tidak ada jika malam hari.

saya dengar sejak 2018 ingin ada perlebaran jalan, tapi hingga saat ini belum terwujud.
jalan disini sangat macet, karena badan jalan yang kecil, sedangkan volume kendaraan yang lewat sangat banyak.

mohon agar dapat perhatian dari pemerintah kabupaten tangerang, mengingat semakin banyak residential di sepanjang jalan ini, ditambah lagi banyak kendaraan besar.
bahkan untuk melewati jl diklat pemda ke jl. medang lestari yang hanya berjarak 800 meter, terkadang sampai menghabiskan waktu 40 menit!

terima kasih atas perhatiannya.

salam,
warga golden stone (kelurahan bojong nangka)",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  Infrastruktur Jalan
9,"Beberapa waktu ini selalu terjadi banjir apabila terjadi hujan deras dalam waktu lebih dari 2 jam di taman alfa indah, dan sudah lama sekali tidak terjadi pengerukan kali, yang mungkin berakibat pendangkalan sungai. 
setelah terjadi banjir besar tanggal 1 januari 2020, perumahan kami sudah diterjang banjir lebih dari 3x sampai dengan saat ini. untuk itu kami mohon bantuan pemprov dki untuk memberikan bantuan dan solusi atas masalah yang kami alami ini.",Pemprov DKI 2,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
0,"Kepada kecamatan karawaci
Pemerinatahan kota tangerang

Salam sejahtera,

Mohon perhatiannya untuk seluruh departemen terkait masalah banjir selagi hujan. Beberapa kali warga karawaci mengeluhkan dan melaporkan kepada pihak kecamatan dan dins pu setempat namun masalah terus dan terus muncul sehabis hujan lebat. Masalah banjir oleh karena sampah yang menyumbat saluran buangan air ke sungai. Mohon perhatian dan kerjasamanya dengan melakukan aksi cepat tanggap yang berarti ditengah musim hujan seperti ini.
Ditengah pandemi ini kita harus kerja lebih giat lagi.

Terima kasih atas perhatian dan kerja samanya.",LAKSA Kota Tangerang,  Lainnya terkait Infrastruktur Pendukung
1,"Salam hormat bapak & ibu

mohon dapat mengirimkan bantuan utk pembersihan sungai di dekat komplek kami. 

alamatnya di perumahan graha prima blok h kelurahan mangunjaya - kecamatan tambun selatan - kabupaten bekasi. 

akibat kondisi hujan beberapa hari terakhir mengakibatkan arus sungai yg cukup deras dan membawa sampah2.. saat ini sampah menumpuk di gorong2 bawah jembatan & mengakibatkan aliran sungai tidak berjalan lancar (mampet)

khawatir sekali akan terjadi banjir seperti awal tahun 2020, karena dulu penyebab banjir juga karena menumpuknya sampah. 

mohon amat sangat sekali bisa mengirimkan bantuan utk pembersihan selagi curah hujan belum terlalu deras.. 

kami disini sangat mengkhwatirkan terjadinya kembali banjir seperti awal tahun 2020

sebelumnya kami ucapkan terima kasih.. mohon dapat segera dikirimkan bantuan untuk pembersihan sampah sungai",Dinas Lingkungan Hidup Kabupaten Bekasi,  Lainnya terkait Lingkungan Hidup dan Kehutanan
2,Yth. pemkot bekasi  di jl. raya mustika jaya tepatnya di depan pertigaan depan perumahan mutiara gading timur sering terjadi banjir ketika hujan dikarenakan saluran air yang menyempit akibat sedimentasi dan sampah.mohon agar dapat diperbaiki atau dibuat saluran air yang lebih besar lagi. terima kasih,Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
3,"Assalamualaikum wr, wb,.
kepada bapak/ibu instansi yang terkait, 
mohon untuk ditanggulangi saluran drainase tidak berfungsi menyebabkan air menggenang banjir, jalan menjadi rusak, pejalan kaki, pengendara motor/mobil sulit untuk melewati dan pengendara motor setiap hari banyak yang terjatuh karna jalan licin dan banyak batu krikil, serta umkm setempat juga menjadi sangat terdampak.
lokasi dijalan raya kaliabang tengah, rt 013 rw 006, kelurahan kaliabang tengah, kecamatan bekasi utara kota bekasi, penghubung kejalan raya kh. a junaidi kabupaten bekasi.

https://maps.app.goo.gl/aqtcjtmpwyc2d6ja6

mohon agar secepatnya mendapatkan tanggapan dan perbaikan,
terima kasih.",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Yth pemerintah daerah kota palembang, dinas pupr, tata ruang, dll terkait.
mohon ketegasan pihak terkait agar pembangunan perumahan memperhatikan jalur parit (saluran air) terutama kolam retensi (waduk).
diperumahan griya sukamulya indah 7 sangat dibutuhkan kolam retensi (waduk) sebab saat ini disini banjir.",Dinas PUPR Kota Palembang,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
5,"Selamat malam,

perkenalkan saya gilang usia ingin menginformasikan dilokasi rumah saya sering banjir ketika curah hujan tinggi.

lokasi rumah saya radius 50 meter dari kali pesanggrahan, saat ini kondisi sungai semakin melebar karena tepian tanah sudah terkena erosi sungai akibat dari banjir & arus air yang deras.

di bulan maret saya & warga sekitar dalam 1 bulan mengalami 5 kali banjir, bulan april 3 kali banjir & bulan mei 3 kali banjir serta bulan juni baru 1 kali banjir.
tanggal 24 oktober 2020 kembali banjir dengan ketinggian air se-pinggang orang dewasa.

di bulan april waktu itu pernah ada kunjungan dari pegawai bpbd bogor untuk survey lokasi paska banjir setelah warga sekitar laporan ke rt, namun sampai saat ini tidak ada follow up ataupun tindakan kelanjutannya. saya sudah melaporkan via email ke instansi terkait namun tidak ada feedback yang serius ataupun tindakan.

untuk lokasi rumah saya berada di kampung sawah, berdekatan dengan perum. griya yasa lestari blok.e.

mohon kira nya dengan email ini ada tindakan dari bpbd bogor & pupr bogor atau pupr pusat terhadap keluhan saya, krn menurut pemantauan saya jika kali pesanggrahan tersebut tidak di beton atau turap akan semakin lebar erosi sungai nya bisa membahayakan warga sekitar & menurut warga sekitar kali tersebut sudah dangkal jadi tidak mampu menampung debit air dalam jumlah banyak.

ditunggu feedback atas laporan email saya.
terima kasih atas perhatiannya.

salam,",Badan Penanggulangan Bencana Daerah,  Bendungan
